Index,X,Y,Z,Target_X,Target_Y,Target_Z
95,0.499752,8.53604e-05,3.19785e-05,0.5,0,0
96,0.499772,8.52212e-05,3.06145e-05,0.5,0,0
97,0.499792,8.50161e-05,2.92348e-05,0.5,0,0
98,0.499812,8.47458e-05,2.78398e-05,0.5,0,0
99,0.499832,8.44113e-05,2.643e-05,0.5,0,0
100,0.499853,8.40134e-05,2.50062e-05,0.284811,-0.000256922,0.000280196
101,0.499873,8.35531e-05,2.35688e-05,0.284811,-0.000256922,0.000280196
102,0.489157,0.000104695,-1.95744e-05,0.284811,-0.000256922,0.000280196
103,0.47844,0.000123939,-6.14397e-05,0.284811,-0.000256922,0.000280196
104,0.467722,0.000141368,-0.000102021,0.284811,-0.000256922,0.000280196
105,0.457003,0.000157062,-0.000141314,0.284811,-0.000256922,0.000280196
106,0.446283,0.000171097,-0.000179315,0.284811,-0.000256922,0.000280196
107,0.435563,0.000183546,-0.000216021,0.284811,-0.000256922,0.000280196
108,0.424841,0.00019448,-0.000251431,0.284811,-0.000256922,0.000280196
109,0.414119,0.000203965,-0.000285546,0.284811,-0.000256922,0.000280196
110,0.403396,0.000212065,-0.000318365,0.284811,-0.000256922,0.000280196
111,0.392671,0.000218841,-0.00034989,0.284811,-0.000256922,0.000280196
112,0.386757,0.000207387,-0.0003433,0.284811,-0.000256922,0.000280196
113,0.380843,0.000195517,-0.000336362,0.284811,-0.000256922,0.000280196
114,0.374928,0.000183245,-0.000329073,0.284811,-0.000256922,0.000280196
115,0.369013,0.000170587,-0.000321432,0.284811,-0.000256922,0.000280196
116,0.363098,0.000157556,-0.000313439,0.284811,-0.000256922,0.000280196
117,0.357183,0.000144165,-0.000305093,0.284811,-0.000256922,0.000280196
118,0.351267,0.000130428,-0.000296392,0.284811,-0.000256922,0.000280196
119,0.345351,0.000116358,-0.000287335,0.284811,-0.000256922,0.000280196
120,0.339435,0.000101967,-0.000277923,0.284811,-0.000256922,0.000280196
121,0.333518,8.72655e-05,-0.000268155,0.284811,-0.000256922,0.000280196
122,0.330793,7.22358e-05,-0.000248908,0.284811,-0.000256922,0.000280196
123,0.328067,5.71699e-05,-0.000229624,0.284811,-0.000256922,0.000280196
124,0.325342,4.20693e-05,-0.0002103,0.284811,-0.000256922,0.000280196
125,0.322616,2.69354e-05,-0.000190937,0.284811,-0.000256922,0.000280196
126,0.319891,1.17699e-05,-0.000171535,0.284811,-0.000256922,0.000280196
127,0.317165,-3.42607e-06,-0.000152091,0.284811,-0.000256922,0.000280196
128,0.314439,-1.8651e-05,-0.000132607,0.284811,-0.000256922,0.000280196
129,0.311713,-3.39037e-05,-0.000113081,0.284811,-0.000256922,0.000280196
130,0.308987,-4.91829e-05,-9.35129e-05,0.284811,-0.000256922,0.000280196
131,0.306261,-6.44874e-05,-7.39019e-05,0.284811,-0.000256922,0.000280196
132,0.305055,-7.45713e-05,-5.85859e-05,0.284811,-0.000256922,0.000280196
133,0.303848,-8.46317e-05,-4.32851e-05,0.284811,-0.000256922,0.000280196
134,0.302642,-9.46688e-05,-2.79992e-05,0.284811,-0.000256922,0.000280196
135,0.301435,-0.000104683,-1.27281e-05,0.284811,-0.000256922,0.000280196
136,0.300228,-0.000114673,2.52828e-06,0.284811,-0.000256922,0.000280196
137,0.299022,-0.00012464,1.77702e-05,0.284811,-0.000256922,0.000280196
138,0.297815,-0.000134585,3.29978e-05,0.284811,-0.000256922,0.000280196
139,0.296609,-0.000144506,4.82113e-05,0.284811,-0.000256922,0.000280196
140,0.295402,-0.000154404,6.34108e-05,0.284811,-0.000256922,0.000280196
141,0.294195,-0.00016428,7.85965e-05,0.284811,-0.000256922,0.000280196
142,0.293667,-0.000169828,8.8009e-05,0.284811,-0.000256922,0.000280196
143,0.293138,-0.000175351,9.74055e-05,0.284811,-0.000256922,0.000280196
144,0.292609,-0.000180849,0.000106786,0.284811,-0.000256922,0.000280196
145,0.292081,-0.000186321,0.000116151,0.284811,-0.000256922,0.000280196
146,0.291552,-0.000191769,0.000125499,0.284811,-0.000256922,0.000280196
147,0.291023,-0.000197191,0.000134832,0.284811,-0.000256922,0.000280196
148,0.290495,-0.00020259,0.000144148,0.284811,-0.000256922,0.000280196
149,0.289966,-0.000207963,0.000153449,0.284811,-0.000256922,0.000280196
150,0.289437,-0.000213312,0.000162733,0.284811,-0.000256922,0.000280196
151,0.288909,-0.000218637,0.000172002,0.284811,-0.000256922,0.000280196
152,0.288678,-0.000221392,0.000177182,0.284811,-0.000256922,0.000280196
153,0.288447,-0.000224126,0.000182353,0.284811,-0.000256922,0.000280196
154,0.288216,-0.00022684,0.000187513,0.284811,-0.000256922,0.000280196
155,0.287985,-0.000229534,0.000192663,0.284811,-0.000256922,0.000280196
