Index,X,Y,Z,Target_X,Target_Y,Target_Z
73,-0.284824,-0.0248229,0.599611,-0.21436,-0.0248534,0.59964
74,-0.284325,-0.024822,0.59961,-0.21436,-0.0248534,0.59964
75,-0.283825,-0.0248212,0.599609,-0.21436,-0.0248534,0.59964
76,-0.283326,-0.0248203,0.599608,-0.21436,-0.0248534,0.59964
77,-0.282826,-0.0248195,0.599607,-0.21436,-0.0248534,0.59964
78,-0.282327,-0.0248186,0.599606,-0.21436,-0.0248534,0.59964
79,-0.281827,-0.0248178,0.599605,-0.21436,-0.0248534,0.59964
80,-0.281327,-0.024817,0.599604,-0.21436,-0.0248534,0.59964
81,-0.280827,-0.0248162,0.599603,-0.21436,-0.0248534,0.59964
82,-0.280327,-0.0248153,0.599602,-0.21436,-0.0248534,0.59964
83,-0.279827,-0.0248145,0.599601,-0.21436,-0.0248534,0.59964
84,-0.279327,-0.0248137,0.5996,-0.21436,-0.0248534,0.59964
85,-0.278827,-0.024813,0.599599,-0.21436,-0.0248534,0.59964
86,-0.278327,-0.0248122,0.599598,-0.21436,-0.0248534,0.59964
87,-0.277827,-0.0248114,0.599597,-0.21436,-0.0248534,0.59964
88,-0.277327,-0.0248106,0.599596,-0.21436,-0.0248534,0.59964
89,-0.276827,-0.0248099,0.599595,-0.21436,-0.0248534,0.59964
90,-0.276326,-0.0248091,0.599594,-0.21436,-0.0248534,0.59964
91,-0.275826,-0.0248084,0.599593,-0.21436,-0.0248534,0.59964
92,-0.275326,-0.0248076,0.599592,-0.21436,-0.0248534,0.59964
93,-0.274825,-0.0248069,0.599591,-0.21436,-0.0248534,0.59964
94,-0.274325,-0.0248062,0.59959,-0.21436,-0.0248534,0.59964
95,-0.273824,-0.0248054,0.599589,-0.21436,-0.0248534,0.59964
96,-0.273324,-0.0248047,0.599588,-0.21436,-0.0248534,0.59964
97,-0.272824,-0.024804,0.599587,-0.21436,-0.0248534,0.59964
98,-0.272323,-0.0248033,0.599586,-0.21436,-0.0248534,0.59964
99,-0.271823,-0.0248026,0.599585,-0.21436,-0.0248534,0.59964
100,-0.271322,-0.024802,0.599584,-0.21436,-0.0248534,0.59964
101,-0.270822,-0.0248013,0.599583,-0.21436,-0.0248534,0.59964
102,-0.270337,-0.0248006,0.599582,-0.21436,-0.0248534,0.59964
103,-0.269864,-0.0248,0.599581,-0.21436,-0.0248534,0.59964
104,-0.269401,-0.0247994,0.59958,-0.21436,-0.0248534,0.59964
105,-0.268948,-0.0247987,0.599578,-0.21436,-0.0248534,0.59964
106,-0.268507,-0.0247981,0.599577,-0.21436,-0.0248534,0.59964
107,-0.268076,-0.0247975,0.599576,-0.21436,-0.0248534,0.59964
108,-0.267656,-0.024797,0.599575,-0.21436,-0.0248534,0.59964
109,-0.267247,-0.0247964,0.599574,-0.21436,-0.0248534,0.59964
110,-0.266849,-0.0247959,0.599573,-0.21436,-0.0248534,0.59964
111,-0.266461,-0.0247954,0.599572,-0.21436,-0.0248534,0.59964
112,-0.266077,-0.0247949,0.599571,-0.21436,-0.0248534,0.59964
113,-0.265699,-0.0247944,0.59957,-0.21436,-0.0248534,0.59964
114,-0.265326,-0.024794,0.599569,-0.21436,-0.0248534,0.59964
115,-0.26496,-0.0247935,0.599569,-0.21436,-0.0248534,0.59964
116,-0.2646,-0.0247931,0.599568,-0.21436,-0.0248534,0.59964
117,-0.264245,-0.0247928,0.599567,-0.21436,-0.0248534,0.59964
118,-0.263896,-0.0247924,0.599566,-0.21436,-0.0248534,0.59964
119,-0.263554,-0.0247921,0.599565,-0.21436,-0.0248534,0.59964
120,-0.263217,-0.0247918,0.599564,-0.21436,-0.0248534,0.59964
121,-0.262886,-0.0247915,0.599564,-0.21436,-0.0248534,0.59964
122,-0.262556,-0.0247913,0.599563,-0.21436,-0.0248534,0.59964
123,-0.262229,-0.0247911,0.599562,-0.21436,-0.0248534,0.59964
124,-0.261905,-0.0247908,0.599562,-0.21436,-0.0248534,0.59964
125,-0.261584,-0.0247906,0.599561,-0.21436,-0.0248534,0.59964
126,-0.261265,-0.0247905,0.59956,-0.21436,-0.0248534,0.59964
127,-0.260949,-0.0247903,0.59956,-0.21436,-0.0248534,0.59964
128,-0.260636,-0.0247902,0.599559,-0.21436,-0.0248534,0.59964
129,-0.260325,-0.0247901,0.599559,-0.21436,-0.0248534,0.59964
130,-0.260017,-0.02479,0.599558,-0.21436,-0.0248534,0.59964
131,-0.259712,-0.0247899,0.599558,-0.21436,-0.0248534,0.59964
132,-0.259407,-0.0247898,0.599557,-0.21436,-0.0248534,0.59964
133,-0.259104,-0.0247897,0.599557,-0.21436,-0.0248534,0.59964
134,-0.258802,-0.0247897,0.599557,-0.21436,-0.0248534,0.59964
135,-0.258501,-0.0247896,0.599556,-0.21436,-0.0248534,0.59964
136,-0.258201,-0.0247896,0.599556,-0.21436,-0.0248534,0.59964
137,-0.257902,-0.0247896,0.599555,-0.21436,-0.0248534,0.59964
138,-0.257605,-0.0247896,0.599555,-0.21436,-0.0248534,0.59964
139,-0.257308,-0.0247896,0.599555,-0.21436,-0.0248534,0.59964
140,-0.257013,-0.0247896,0.599555,-0.21436,-0.0248534,0.59964
141,-0.25672,-0.0247897,0.599554,-0.21436,-0.0248534,0.59964
142,-0.256426,-0.0247897,0.599554,-0.21436,-0.0248534,0.59964
143,-0.256133,-0.0247897,0.599554,-0.21436,-0.0248534,0.59964
144,-0.25584,-0.0247898,0.599553,-0.21436,-0.0248534,0.59964
145,-0.255548,-0.0247898,0.599553,-0.21436,-0.0248534,0.59964
146,-0.255257,-0.0247899,0.599553,-0.21436,-0.0248534,0.59964
147,-0.254966,-0.02479,0.599553,-0.21436,-0.0248534,0.59964
148,-0.254675,-0.02479,0.599553,-0.21436,-0.0248534,0.59964
149,-0.254386,-0.0247901,0.599552,-0.21436,-0.0248534,0.59964
150,-0.254096,-0.0247902,0.599552,-0.21436,-0.0248534,0.59964
151,-0.253807,-0.0247903,0.599552,-0.21436,-0.0248534,0.59964
152,-0.253519,-0.0247904,0.599552,-0.21436,-0.0248534,0.59964
153,-0.25323,-0.0247905,0.599552,-0.21436,-0.0248534,0.59964
154,-0.252942,-0.0247906,0.599552,-0.21436,-0.0248534,0.59964
155,-0.252654,-0.0247907,0.599551,-0.21436,-0.0248534,0.59964
156,-0.252366,-0.0247908,0.599551,-0.21436,-0.0248534,0.59964
157,-0.252078,-0.0247909,0.599551,-0.21436,-0.0248534,0.59964
158,-0.251791,-0.024791,0.599551,-0.21436,-0.0248534,0.59964
159,-0.251504,-0.0247911,0.599551,-0.21436,-0.0248534,0.59964
160,-0.251217,-0.0247912,0.599551,-0.21436,-0.0248534,0.59964
161,-0.25093,-0.0247913,0.599551,-0.21436,-0.0248534,0.59964
162,-0.250643,-0.0247914,0.59955,-0.21436,-0.0248534,0.59964
163,-0.250357,-0.0247916,0.59955,-0.21436,-0.0248534,0.59964
164,-0.25007,-0.0247917,0.59955,-0.21436,-0.0248534,0.59964
165,-0.249784,-0.0247918,0.59955,-0.21436,-0.0248534,0.59964
166,-0.249498,-0.0247919,0.59955,-0.21436,-0.0248534,0.59964
167,-0.249212,-0.0247921,0.59955,-0.21436,-0.0248534,0.59964
168,-0.248926,-0.0247922,0.59955,-0.21436,-0.0248534,0.59964
169,-0.24864,-0.0247923,0.59955,-0.21436,-0.0248534,0.59964
170,-0.248354,-0.0247924,0.59955,-0.21436,-0.0248534,0.59964
171,-0.248068,-0.0247926,0.59955,-0.21436,-0.0248534,0.59964
172,-0.247782,-0.0247927,0.59955,-0.21436,-0.0248534,0.59964
173,-0.247497,-0.0247928,0.599549,-0.21436,-0.0248534,0.59964
174,-0.247211,-0.024793,0.599549,-0.21436,-0.0248534,0.59964
175,-0.246925,-0.0247931,0.599549,-0.21436,-0.0248534,0.59964
176,-0.24664,-0.0247932,0.599549,-0.21436,-0.0248534,0.59964
177,-0.246354,-0.0247934,0.599549,-0.21436,-0.0248534,0.59964
178,-0.246069,-0.0247935,0.599549,-0.21436,-0.0248534,0.59964
179,-0.245784,-0.0247937,0.599549,-0.21436,-0.0248534,0.59964
180,-0.245498,-0.0247938,0.599549,-0.21436,-0.0248534,0.59964
181,-0.245213,-0.0247939,0.599549,-0.21436,-0.0248534,0.59964
182,-0.244928,-0.0247941,0.599549,-0.21436,-0.0248534,0.59964
183,-0.244642,-0.0247942,0.599549,-0.21436,-0.0248534,0.59964
184,-0.244357,-0.0247944,0.599549,-0.21436,-0.0248534,0.59964
185,-0.244072,-0.0247945,0.599549,-0.21436,-0.0248534,0.59964
