Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.27153,1.52739,3.15365,4.23822,6.27087,2.00111,1.55357,-5.29498e-06,0,0,0,0,0,0,0.267399,0.00578361,-0.276321,0.00803243,0.280778,0.00537579,0.393264,0.000869983,-16.5739,-0.326535,-3.33328,-0.0354586,2.19979,-0.00393608,0,0,0,0.395042,0.00134017,0.0172573,-7.09076e-09,2.09174e-06,1.53668e-11,0,0,0,0,0,0,0,0,0,1.70186,3.50056,-0.798749,-6.55408,0.949985,-2.76353,-0.0110373,-0.0809682,-0.0809682,0.161936,0.435059,-0.0254773,0.58412,-0.0284845,23.479,23.3513,23.1811,23.2946,23.3229,23.3229,23.1527,
1,6.27309,1.5286,3.15289,4.23603,6.27098,2.00128,1.55357,0.00851811,0.00676193,-0.0129647,-0.030521,0.00702102,0.00139458,1.05901e-05,0.288915,0.00669243,-0.297403,0.00844719,0.302583,0.00600334,0.424916,0.00663987,-16.5497,-0.32811,-3.36105,-0.0338569,2.1994,-0.00405944,0,0,0,0.395042,0.00134017,0.0172573,-0.0105624,0.000914213,-0.00161136,0,0,0,2.12723e-07,-6.27521e-05,-4.61003e-10,1.41903e-21,7.77981e-11,-1.059e-05,0.734189,0.916829,-1.24967,-1.2247,0.58651,-0.466929,0.0561129,0.531799,0.354584,-0.225586,-0.136963,0.153129,0.402832,-0.0404841,23.479,23.3371,23.1811,23.3087,23.3229,23.3087,23.1669,
2,6.27309,1.5286,3.15287,4.236,6.27099,2.00129,1.55357,0.00918331,0.00676193,-0.0129647,-0.0280861,0.0107321,0.00141305,1.0582e-05,0.374465,-2.7638,-1.88087,2.52935,0.535776,-4.86798,2.27298,0.030141,-18.3564,-0.501364,-2.38801,0.0519357,2.38628,-0.000647797,-0.000775951,-0.00323426,0.00143898,0.395042,0.00134017,0.0172573,-0.009867,0.00101543,-0.00167833,0.0379468,0.0157177,0.0158113,1.45528,0.444105,0.52268,-0.108655,-0.395659,0.147744,0.727869,0.868593,-1.21728,-1.07602,0.614686,-0.507882,0.00939398,0.547852,0.346529,-0.241699,-0.185478,0.128969,0.398824,-0.0284845,23.4648,23.3371,23.1811,23.3229,23.3229,23.3087,23.1669,
3,6.2731,1.52861,3.15286,4.23598,6.27101,2.00128,1.55357,0.00972351,0.00701897,-0.0129515,-0.0253892,0.014571,0.00118381,1.0582e-05,0.374162,-2.76403,-1.86616,2.49904,0.529504,-4.8396,2.26034,0.0300391,-18.3563,-0.500156,-2.39633,0.0509884,2.38678,-6.97515e-05,-0.000794384,-0.00326896,0.00143474,0.395042,0.00134017,0.0172573,-0.0091659,0.001174,-0.00188008,0.0383574,0.0156632,0.0158691,1.44673,0.439433,0.526424,-0.113668,-0.394328,0.141862,0.738492,0.865995,-1.18684,-0.901137,0.571277,-0.531157,-0.000114173,0.523682,0.346529,-0.233643,-0.241833,0.100789,0.394796,-0.036478,23.479,23.3371,23.1811,23.3087,23.3229,23.3229,23.1669,
4,6.2731,1.52861,3.15286,4.23598,6.27101,2.00128,1.55357,0.00972351,0.00701897,-0.0129515,-0.0253892,0.014571,0.00118381,1.0582e-05,0.373068,-2.77509,-1.84393,2.45331,0.521996,-4.80612,2.23988,0.0297382,-18.3634,-0.498506,-2.40729,0.0495868,2.38847,0.000566763,-0.000814645,-0.00330373,0.00142717,0.395042,0.00134017,0.0172573,-0.0091659,0.001174,-0.00188008,0.0387247,0.0156006,0.0159648,1.43672,0.432797,0.535348,-0.118946,-0.393492,0.135168,0.738492,0.865995,-1.18684,-0.901137,0.571277,-0.531157,-0.000114173,0.523682,0.346529,-0.233643,-0.241833,0.100789,0.394796,-0.036478,23.479,23.3371,23.1811,23.3087,23.3229,23.3229,23.1669,
5,6.27311,1.52862,3.15285,4.23595,6.27103,2.00128,1.55357,0.0095292,0.00766845,-0.0135049,-0.0237686,0.0189762,0.000449031,1.0582e-05,0.373555,-2.77519,-1.84439,2.4532,0.522436,-4.80623,2.24054,0.0298477,-18.3632,-0.498539,-2.4076,0.0496199,2.38847,0.000564575,-0.000814645,-0.00330373,0.00142717,0.395042,0.00134017,0.0172573,-0.00888015,0.00183301,-0.00225757,0.0387247,0.0156006,0.0159648,1.43672,0.432797,0.535348,-0.118946,-0.393492,0.135168,0.745177,0.835086,-1.20425,-0.761356,0.529731,-0.532873,0.0012621,0.515877,0.34681,-0.225586,-0.290151,0.0725098,0.386803,-0.0444942,23.479,23.3371,23.1669,23.3229,23.3371,23.3087,23.1669,
6,6.27312,1.52862,3.15283,4.23593,6.27105,2.00128,1.55357,0.00918331,0.00754216,-0.014043,-0.0224181,0.0205274,-0.000163284,1.05901e-05,0.370008,-2.81459,-1.7662,2.42295,0.512582,-4.81323,2.16529,0.0288587,-18.3886,-0.492758,-2.41126,0.0450893,2.39204,0.00161227,-0.000836119,-0.00333972,0.00141867,0.395042,0.00134017,0.0172573,-0.00846321,0.00227436,-0.00230535,0.0390825,0.0155342,0.0160832,1.43888,0.411035,0.550222,-0.125926,-0.396754,0.125878,0.73465,0.844571,-1.20139,-0.640625,0.53864,-0.574609,0.00563613,0.523744,0.210091,-0.218125,-0.33042,0.0180152,0.394858,-0.0402832,23.4648,23.3513,23.1669,23.3229,23.3229,23.2946,23.1669,
7,6.27312,1.52862,3.15283,4.23593,6.27105,2.00128,1.55357,0.00918331,0.00754216,-0.014043,-0.0224181,0.0205274,-0.000163284,1.05901e-05,0.366888,-2.82362,-1.70642,2.40495,0.507206,-4.80333,2.10792,0.0280008,-18.3944,-0.488011,-2.41479,0.0417157,2.3931,0.00235069,-0.000859211,-0.00337346,0.00140903,0.395042,0.00134017,0.0172573,-0.00846321,0.00227436,-0.00230535,0.0394152,0.0154326,0.0161876,1.43635,0.394747,0.554789,-0.130648,-0.398454,0.121352,0.73465,0.844571,-1.20139,-0.640625,0.53864,-0.574609,0.00563613,0.523744,0.210091,-0.218125,-0.33042,0.0180152,0.394858,-0.0402832,23.4648,23.3513,23.1669,23.3229,23.3229,23.2946,23.1669,
8,6.27312,1.52862,3.15283,4.23593,6.27105,2.00128,1.55357,0.00918331,0.00754216,-0.014043,-0.0224181,0.0205274,-0.000163284,1.05901e-05,0.366888,-2.82362,-1.70642,2.40495,0.507206,-4.80333,2.10792,0.0280008,-18.3944,-0.488011,-2.41479,0.0417157,2.3931,0.00235069,-0.000859211,-0.00337346,0.00140903,0.395042,0.00134017,0.0172573,-0.00846321,0.00227436,-0.00230535,0.0394152,0.0154326,0.0161876,1.43635,0.394747,0.554789,-0.130648,-0.398454,0.121352,0.73465,0.844571,-1.20139,-0.640625,0.53864,-0.574609,0.00563613,0.523744,0.210091,-0.218125,-0.33042,0.0180152,0.394858,-0.0402832,23.4648,23.3513,23.1669,23.3229,23.3229,23.2946,23.1669,
9,6.27313,1.52863,3.15282,4.23591,6.27107,2.00128,1.55357,0.0102637,0.00594214,-0.0148554,-0.0225479,0.0172862,-0.000208741,0,0.367297,-2.8237,-1.70696,2.40496,0.507404,-4.80344,2.10839,0.0281244,-18.3942,-0.488067,-2.41502,0.0417695,2.39311,0.00234727,-0.000859211,-0.00337346,0.00140903,0.395042,0.00134017,0.0172573,-0.00807254,0.00177166,-0.00166421,0.0394152,0.0154326,0.0161876,1.43635,0.394747,0.554789,-0.130648,-0.398454,0.121352,0.735505,0.860907,-1.19743,-0.515125,0.545385,-0.564983,0.0462001,0.531738,0,-0.233643,-0.394775,-0.00569691,0.410889,-0.0483398,23.479,23.3655,23.1952,23.3229,23.3229,23.3087,23.1669,
10,6.27314,1.52863,3.1528,4.23588,6.27109,2.00128,1.55357,0.00972351,0.00189068,-0.0153956,-0.0240387,0.0151255,-0.000141846,0,0.370067,-2.77727,-1.75387,2.4422,0.515328,-4.79352,2.15946,0.0288836,-18.3637,-0.491173,-2.41054,0.0445846,2.38916,0.00226126,-0.000881642,-0.0034033,0.00140333,0.395042,0.00134017,0.0172573,-0.00741446,0.00193759,-1.33275e-05,0.0397392,0.0153628,0.0162335,1.43435,0.407734,0.536932,-0.131839,-0.398511,0.128759,0.732714,0.848675,-1.19106,-0.422137,0.543488,-0.52415,0.0404254,0.507632,-0.201416,-0.209628,-0.410968,0.0322266,0.422993,-0.0523682,23.4932,23.3513,23.1811,23.3229,23.3087,23.3087,23.1669,
11,6.27314,1.52862,3.15279,4.23586,6.2711,2.00128,1.55357,0.00972351,-0.00520149,-0.016746,-0.0261995,0.0125384,0.000123491,0,0.368741,-2.64176,-1.72651,2.52774,0.515621,-4.74696,2.13285,0.028517,-18.2751,-0.486811,-2.40245,0.0433567,2.37716,0.00254424,-0.00090284,-0.00342551,0.00139897,0.395042,0.00134017,0.0172573,-0.00613495,0.00208678,0.00288197,0.0400016,0.015286,0.0161854,1.42248,0.400452,0.485963,-0.133274,-0.395426,0.131149,0.732714,0.920592,-1.18263,-0.334992,0.574512,-0.464598,0.0349418,0.507632,-0.394775,-0.201577,-0.378662,0.0443115,0.43103,-0.036478,23.4932,23.3513,23.1669,23.3229,23.3371,23.3087,23.1669,
12,6.27315,1.52862,3.15279,4.23586,6.2711,2.00128,1.55357,0.00971366,-0.00520149,-0.016746,-0.0261995,0.0125384,0.000123491,0,0.365811,-2.38287,-1.68262,2.65599,0.51456,-4.62608,2.08983,0.0277112,-18.1063,-0.479177,-2.3962,0.0414218,2.35472,0.00305693,-0.00092475,-0.00343734,0.00138638,0.395042,0.00134017,0.0172573,-0.00613494,0.00209072,0.00288197,0.0401961,0.0150481,0.0159818,1.38993,0.38884,0.392994,-0.136088,-0.386169,0.134507,0.746808,0.920592,-1.18263,-0.334992,0.574512,-0.464598,0.0349418,0.523929,-0.394775,-0.201577,-0.378662,0.0443115,0.43103,-0.036478,23.4648,23.3513,23.1669,23.3229,23.3371,23.3087,23.1669,
13,6.27316,1.5286,3.15277,4.23583,6.27111,2.00129,1.55357,0.0100307,-0.00912883,-0.0178046,-0.0283602,0.0108039,0.000529916,0,0.367255,-2.38259,-1.69961,2.65664,0.516046,-4.62625,2.10733,0.0280994,-18.1059,-0.480558,-2.39627,0.042377,2.35474,0.00298203,-0.000924767,-0.00343733,0.00139597,0.395042,0.00134017,0.0172573,-0.00570231,0.00210578,0.00454137,0.0401958,0.0151992,0.0159818,1.38992,0.393255,0.392994,-0.13609,-0.386168,0.135446,0.765653,1.00265,-1.17122,-0.276493,0.578582,-0.410958,0.0248097,0.515688,-0.467355,-0.185478,-0.354584,0.0605589,0.439105,-0.0443115,23.479,23.3371,23.1669,23.3087,23.3229,23.3229,23.1527,
14,6.27317,1.52858,3.15275,4.2358,6.27112,2.00129,1.55357,0.0102637,-0.0237445,-0.0194273,-0.030343,0.00971366,0.000889385,0,0.366772,-2.22921,-1.68761,2.77021,0.517633,-4.5905,2.09821,0.0279518,-18.0055,-0.477154,-2.38278,0.0420214,2.34075,0.00336078,-0.000948031,-0.00344195,0.00139632,0.395042,0.00134017,0.0172573,-0.00235735,0.00240536,0.0104065,0.0403345,0.0151115,0.0156494,1.3811,0.390172,0.333241,-0.139109,-0.382255,0.139207,0.777485,1.08672,-1.13973,-0.182648,0.599619,-0.371428,0.0244036,0.507632,-0.604302,-0.153288,-0.314312,0.0814677,0.447162,-0.0371393,23.4648,23.3371,23.1952,23.3087,23.3371,23.3087,23.1669,
15,6.27317,1.52858,3.15275,4.2358,6.27113,2.0013,1.55357,0.0102637,-0.0237445,-0.0194273,-0.030343,0.00864312,0.00126852,0,0.363301,-1.66926,-1.64529,2.95585,0.510129,-4.24246,2.0533,0.0269982,-17.6406,-0.464931,-2.39417,0.0405612,2.29393,0.00413129,-0.000971137,-0.00344455,0.00139715,0.395042,0.00134017,0.0172573,-0.00235699,0.00230295,0.0104482,0.0404549,0.0150162,0.0152138,1.28437,0.378326,0.144217,-0.143999,-0.356533,0.141628,0.777485,1.08672,-1.13973,-0.182648,0.603972,-0.331709,-0.00336803,0.507632,-0.604302,-0.153288,-0.314312,0.088623,0.455218,-0.0362549,23.4648,23.3371,23.1952,23.3087,23.3229,23.3229,23.1811,
16,6.27318,1.52855,3.15273,4.23576,6.27113,2.0013,1.55357,0.00972351,-0.0302509,-0.0205274,-0.0321416,0.00864312,0.00126852,0,0.364307,-1.66427,-1.6533,2.961,0.5117,-4.24405,2.06133,0.0272569,-17.6371,-0.465493,-2.39354,0.0410272,2.29328,0.0040414,-0.000974704,-0.00343709,0.00138929,0.395042,0.00134017,0.0172573,-0.0011318,0.00284158,0.0130691,0.0404548,0.0149829,0.0151821,1.28435,0.380398,0.142016,-0.143454,-0.354998,0.142771,0.77265,1.24062,-1.09656,-0.111829,0.603972,-0.331709,-0.00336803,0.507568,-0.467563,-0.153922,-0.282097,0.088623,0.455218,-0.0362549,23.4648,23.3513,23.1811,23.3087,23.3229,23.3229,23.1811,
17,6.27319,1.52851,3.15271,4.23573,6.27114,2.00131,1.55357,0.0102637,-0.0345725,-0.0213377,-0.0329185,0.00902766,0.00159454,0,0.360708,-1.40012,-1.58531,3.08395,0.506809,-4.11295,1.9939,0.026248,-17.4646,-0.455798,-2.38925,0.0376984,2.27052,0.00481614,-0.000994936,-0.00343903,0.00139834,0.395042,0.00134017,0.0172573,-0.000198329,0.00290626,0.0148336,0.040498,0.0149037,0.0146694,1.24889,0.361864,0.0480093,-0.147771,-0.345798,0.142541,0.711991,1.50932,-1.10159,-0.0218899,0.605889,-0.299436,0.0037805,0.507568,-0.531799,-0.128906,-0.249886,0.100789,0.455218,-0.0402832,23.4648,23.3513,23.1811,23.3087,23.3229,23.3087,23.1669,
18,6.27319,1.52851,3.15271,4.23573,6.27114,2.00131,1.55357,0.0102637,-0.0345725,-0.0213377,-0.0329185,0.00902766,0.00159454,0,0.359189,-1.19884,-1.56554,3.17535,0.503638,-4.01191,1.97605,0.0258303,-17.3334,-0.451034,-2.38669,0.0369099,2.25314,0.00539257,-0.00102002,-0.00343034,0.00139907,0.395042,0.00134017,0.0172573,-0.000198329,0.00290626,0.0148336,0.0405075,0.014786,0.014061,1.22118,0.356393,-0.0231786,-0.152292,-0.337214,0.142932,0.711991,1.50932,-1.10159,-0.0218899,0.605889,-0.299436,0.0037805,0.507568,-0.531799,-0.128906,-0.249886,0.100789,0.455218,-0.0402832,23.4648,23.3513,23.1811,23.3087,23.3229,23.3087,23.1669,
19,6.2732,1.52847,3.15268,4.2357,6.27115,2.00132,1.55357,0.0100307,-0.0376153,-0.0225692,-0.033222,0.00936268,0.00204013,0,0.359925,-1.19884,-1.56628,3.17552,0.504168,-4.01211,1.97691,0.0260117,-17.3333,-0.45109,-2.38667,0.0369544,2.25314,0.00538873,-0.00102002,-0.00343034,0.00139907,0.395042,0.00134017,0.0172573,0.00052552,0.00338845,0.0160982,0.0405075,0.014786,0.014061,1.22118,0.356393,-0.0231786,-0.152292,-0.337214,0.142932,0.763369,1.75966,-1.11471,0.0225539,0.600877,-0.27832,0.00436147,0.499512,-0.612358,-0.11308,-0.233781,0.10103,0.467303,-0.0402832,23.479,23.3513,23.1527,23.3087,23.3229,23.3087,23.1385,
20,6.27321,1.52843,3.15266,4.23566,6.27115,2.00133,1.55357,0.00972351,-0.0405146,-0.0232284,-0.0331014,0.00877772,0.00361974,0,0.356557,-1.03197,-1.49733,3.24982,0.500198,-3.92845,1.91079,0.0250647,-17.2242,-0.44284,-2.38473,0.0334203,2.23846,0.00628143,-0.00104808,-0.00341302,0.00140014,0.395042,0.00134017,0.0172573,0.0013343,0.00365123,0.0174115,0.0404562,0.0146426,0.0133444,1.19792,0.337626,-0.0826154,-0.157895,-0.329146,0.141851,0.845455,1.94274,-1.03936,0.0976002,0.606496,-0.293079,0.00621094,0.499577,-0.692918,-0.0970148,-0.249756,0.0974321,0.467355,-0.0402832,23.479,23.3371,23.1811,23.3087,23.3229,23.2946,23.1243,
21,6.27321,1.52843,3.15266,4.23566,6.27115,2.00133,1.55357,0.00972351,-0.0405146,-0.0232284,-0.0331014,0.00877772,0.00361974,0,0.353781,-0.859883,-1.45238,3.32313,0.497556,-3.84082,1.86712,0.0243016,-17.1121,-0.436475,-2.38369,0.0312355,2.22319,0.00685702,-0.00107416,-0.00339899,0.00140218,0.395042,0.00134017,0.0172573,0.0013343,0.00365123,0.0174115,0.0404322,0.0145031,0.0126294,1.17294,0.325556,-0.143463,-0.161383,-0.318541,0.142389,0.845455,1.94274,-1.03936,0.0976002,0.606496,-0.293079,0.00621094,0.499577,-0.692918,-0.0970148,-0.249756,0.0974321,0.467355,-0.0402832,23.479,23.3371,23.1811,23.3087,23.3229,23.2946,23.1243,
22,6.27322,1.52839,3.15264,4.23563,6.27116,2.00134,1.55357,0.00917401,-0.0448362,-0.0232284,-0.0337622,0.00864312,0.00737554,0,0.354478,-0.859876,-1.45308,3.32318,0.498202,-3.84086,1.86799,0.0244726,-17.1119,-0.436528,-2.38373,0.0312757,2.2232,0.00685349,-0.00107416,-0.00339899,0.00140218,0.395042,0.00134017,0.0172573,0.00230334,0.00387096,0.0195299,0.0404322,0.0145031,0.0126294,1.17294,0.325556,-0.143463,-0.161383,-0.318541,0.142389,0.841213,2.21028,-0.999859,0.196538,0.59014,-0.283048,0.00471449,0.507568,-0.78166,-0.0889885,-0.233643,0.108765,0.467285,-0.0404841,23.4648,23.3513,23.1811,23.3087,23.3087,23.2946,23.1669,
23,6.27323,1.52834,3.15261,4.2356,6.27117,2.00136,1.55357,0.00810292,-0.0480286,-0.0232284,-0.0329519,0.0077244,0.0118554,0,0.352452,-0.617684,-1.41313,3.43836,0.493667,-3.73143,1.82722,0.0238952,-16.9539,-0.429475,-2.37917,0.0294197,2.20122,0.00733432,-0.00110075,-0.00337632,0.00140265,0.395042,0.00134017,0.0172573,0.0033897,0.00422247,0.0212424,0.0403427,0.0143502,0.0118402,1.14118,0.314378,-0.230692,-0.163992,-0.301437,0.141471,0.760542,2.52918,-0.960067,0.194726,0.603118,-0.174927,0.00107476,0.547911,-0.838046,-0.0966797,-0.234198,0.112865,0.447144,-0.0362549,23.4648,23.3371,23.1811,23.3229,23.3229,23.3087,23.1669,
24,6.27323,1.52834,3.15261,4.2356,6.27117,2.00136,1.55357,0.00810292,-0.0480286,-0.0232284,-0.0329519,0.0077244,0.0118554,0,0.348939,-0.396191,-1.35591,3.51721,0.488915,-3.60946,1.76834,0.0229291,-16.8095,-0.42133,-2.382,0.0266089,2.18114,0.00781572,-0.00112693,-0.00334658,0.00140295,0.395042,0.00134017,0.0172573,0.0033897,0.00422247,0.0212424,0.0402098,0.0141841,0.0109884,1.1046,0.298848,-0.307622,-0.165902,-0.281473,0.140861,0.760542,2.52918,-0.960067,0.194726,0.603118,-0.174927,0.00107476,0.547911,-0.838046,-0.0966797,-0.234198,0.112865,0.447144,-0.0362549,23.4648,23.3371,23.1811,23.3229,23.3229,23.3087,23.1669,
25,6.27323,1.52834,3.15261,4.2356,6.27117,2.00136,1.55357,0.00810292,-0.0480286,-0.0232284,-0.0329519,0.0077244,0.0118554,0,0.348939,-0.396191,-1.35591,3.51721,0.488915,-3.60946,1.76834,0.0229291,-16.8095,-0.42133,-2.382,0.0266089,2.18114,0.00781572,-0.00112693,-0.00334658,0.00140295,0.395042,0.00134017,0.0172573,0.0033897,0.00422247,0.0212424,0.0402098,0.0141841,0.0109884,1.1046,0.298848,-0.307622,-0.165902,-0.281473,0.140861,0.760542,2.52918,-0.960067,0.194726,0.603118,-0.174927,0.00107476,0.547911,-0.838046,-0.0966797,-0.234198,0.112865,0.447144,-0.0362549,23.4648,23.3371,23.1811,23.3229,23.3229,23.3087,23.1669,
26,6.27324,1.52829,3.15259,4.23557,6.27118,2.00138,1.55357,0.00902766,-0.0521598,-0.0220469,-0.0316014,0.00772185,0.0167666,0,0.349677,-0.396083,-1.35672,3.51702,0.489806,-3.60917,1.76936,0.0231015,-16.8093,-0.421391,-2.38203,0.0266517,2.18115,0.00781153,-0.00112693,-0.00334658,0.00140295,0.395042,0.00134017,0.0172573,0.00488708,0.0035443,0.0233447,0.0402098,0.0141841,0.0109884,1.1046,0.298848,-0.307622,-0.165902,-0.281473,0.140861,0.787702,2.81326,-0.95572,0.113954,0.590577,-0.0650318,0.0119155,0.555967,-0.870266,-0.088623,-0.257938,0.116821,0.40686,-0.0485074,23.479,23.3371,23.1811,23.3087,23.3087,23.3087,23.1669,
27,6.27324,1.52829,3.15259,4.23557,6.27118,2.00138,1.55357,0.00902766,-0.0521598,-0.0220469,-0.0316014,0.00772185,0.0167666,0,0.352297,-0.117175,-1.41787,3.59686,0.487686,-3.43453,1.82771,0.0238218,-16.6276,-0.422017,-2.39151,0.030397,2.15685,0.0076392,-0.00115375,-0.00330353,0.00140475,0.395042,0.00134017,0.0172573,0.00488708,0.0035443,0.0233447,0.0399733,0.0140358,0.00999185,1.05259,0.314745,-0.400586,-0.166314,-0.256359,0.142805,0.787702,2.81326,-0.95572,0.113954,0.590577,-0.0650318,0.0119155,0.555967,-0.870266,-0.088623,-0.257938,0.116821,0.40686,-0.0485074,23.479,23.3371,23.1811,23.3087,23.3087,23.3087,23.1669,
28,6.27325,1.52823,3.15257,4.23553,6.27119,2.00139,1.55357,0.00810292,-0.0564504,-0.0218779,-0.0315968,0.00754635,0.0180752,0,0.352927,-0.117177,-1.41849,3.59688,0.488258,-3.43453,1.82849,0.0239776,-16.6275,-0.42207,-2.3915,0.0304376,2.15686,0.00763543,-0.00115375,-0.00330353,0.00140475,0.395042,0.00134017,0.0172573,0.00603613,0.00385714,0.0251728,0.0399733,0.0140358,0.00999185,1.05259,0.314745,-0.400586,-0.166314,-0.256359,0.142805,0.770211,3.07787,-0.88969,0.076675,0.576207,0.0407152,0.0178133,0.531799,-0.894614,-0.12085,-0.282097,0.120917,0.362638,-0.036478,23.4506,23.3229,23.1527,23.3087,23.3229,23.2946,23.1385,
29,6.27325,1.52823,3.15257,4.23553,6.27119,2.00139,1.55357,0.00810292,-0.0564504,-0.0218779,-0.0315968,0.00754635,0.0180752,0,0.349661,0.129332,-1.36755,3.68442,0.481931,-3.29141,1.77522,0.0230797,-16.4668,-0.414048,-2.39477,0.0279717,2.13547,0.00811487,-0.0011789,-0.00326379,0.00140459,0.395042,0.00134017,0.0172573,0.00603613,0.00385714,0.0251728,0.0397627,0.0138818,0.00899588,1.0118,0.300739,-0.485308,-0.168425,-0.24117,0.141227,0.770211,3.07787,-0.88969,0.076675,0.576207,0.0407152,0.0178133,0.531799,-0.894614,-0.12085,-0.282097,0.120917,0.362638,-0.036478,23.4506,23.3229,23.1527,23.3087,23.3229,23.2946,23.1385,
30,6.27326,1.52817,3.15255,4.2355,6.27119,2.00141,1.55357,0.00810292,-0.0615822,-0.0218779,-0.0334921,0.00789735,0.0172687,0,0.350291,0.129299,-1.36814,3.6847,0.482377,-3.29174,1.77591,0.0232324,-16.4667,-0.414095,-2.39467,0.0280087,2.13548,0.00811129,-0.0011789,-0.00326379,0.00140459,0.395042,0.00134017,0.0172573,0.00686706,0.00389834,0.0271593,0.0397627,0.0138818,0.00899588,1.0118,0.300739,-0.485308,-0.168425,-0.24117,0.141227,0.778612,3.35617,-0.871078,0.0663357,0.589235,0.0916079,0.0189945,0.539795,-0.894323,-0.12085,-0.281982,0.125138,0.350464,-0.0371393,23.4648,23.3371,23.1811,23.2946,23.3087,23.2946,23.1527,
31,6.27326,1.52817,3.15255,4.2355,6.27119,2.00141,1.55357,0.00810292,-0.0615822,-0.0218779,-0.0334921,0.00789735,0.0172687,0,0.34853,0.386093,-1.34722,3.80948,0.477138,-3.16931,1.75417,0.0227483,-16.2993,-0.408369,-2.38922,0.0272031,2.11334,0.00854152,-0.00120433,-0.0032194,0.00140395,0.395042,0.00134017,0.0172573,0.00686706,0.00389834,0.0271593,0.0394932,0.0137252,0.00792623,0.978785,0.294805,-0.576993,-0.17133,-0.23188,0.140591,0.778612,3.35617,-0.871078,0.0663357,0.589235,0.0916079,0.00146924,0.539795,-0.894323,-0.12085,-0.281982,0.125138,0.350464,-0.0324774,23.4648,23.3371,23.1811,23.2946,23.3087,23.2946,23.1669,
