Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.27295,1.38524,3.15332,4.11725,6.27422,1.9754,1.55574,0.0032484,0.0334582,0.000100833,0.105608,0.000211641,0.0194961,-1.0598e-05,0.38106,-5.53394,-0.638548,2.18635,-0.158566,-20.2096,0.846729,0.00272525,-20,-0.432204,0.664029,-0.0445008,0.907894,0.0171824,-7.60443e-05,0.00462665,-0.000253469,0.49431,0.00122332,0.0734279,0.0234502,-0.00110668,-0.0131622,1.98512,-0.00270606,0.005,1.78661,-0.00243546,0.0045,-0.20532,12.492,-0.684367,1.69708,0.327472,-0.204784,5.11338,0.316396,6.04799,0.213889,0.515625,0.128906,0.0290486,-0.0966797,-0.136963,-0.547852,-0.0525229,23.479,23.3371,23.1952,23.3087,23.252,23.2946,23.1811,
1,6.27296,1.38527,3.15332,4.11735,6.27422,1.97542,1.55574,0.00340408,0.0307911,0.000100757,0.102367,0.00021693,0.0270097,-1.059e-05,0.333781,-2.84051,-0.31734,4.10697,0.455965,-9.68742,0.571825,-0.00985252,-18.9575,-0.373746,0.99675,-0.0398595,1.94712,-0.00232587,0,0,0,0.49431,0.00122332,0.0734279,0.023081,-0.00115674,-0.0112509,2,0,0.005,1.77889,0.000996009,0.016346,-0.0150985,2.749,0.0468521,1.68848,0.334702,-0.187975,5.06827,0.301364,6.06628,0.207102,0.507632,0.169381,0.0254773,-0.0966797,-0.124878,-0.559937,-0.0483398,23.4932,23.3513,23.1811,23.3087,23.2378,23.2946,23.1385,
2,6.27296,1.3853,3.15332,4.11746,6.27422,1.97545,1.55574,0.00329836,0.0280901,0.000100757,0.102564,0.000227684,0.0289004,-1.0606e-05,0.335112,-2.96679,-0.315614,4.01435,0.474606,-10.1915,0.580103,-0.00949916,-19.0345,-0.375328,0.981484,-0.0397764,1.89663,-0.00210911,-7.12313e-07,9.71866e-05,1.67491e-06,0.49431,0.00122332,0.0734279,0.023709,-0.00110486,-0.00998775,1.99954,2.45654e-05,0.005,1.77882,0.00106318,0.0146259,-0.0170775,3.21956,0.053619,1.69893,0.335346,-0.180546,5.01505,0.291659,6.05506,0.20326,0.531738,0.218125,0.0180152,-0.0290486,-0.128969,-0.604248,-0.0609595,23.5074,23.3513,23.1669,23.3229,23.2378,23.2946,23.1669,
3,6.27296,1.38533,3.15332,4.11756,6.27423,1.97548,1.55574,0.00340476,0.0250768,9.54548e-05,0.101016,0.000238094,0.0285876,-1.0598e-05,0.336617,-3.0847,-0.318309,3.92425,0.479752,-10.6594,0.589038,-0.00910031,-19.1065,-0.377107,0.966256,-0.0397795,1.84944,-0.00171573,-1.72921e-06,0.000207015,1.67586e-06,0.49431,0.00122332,0.0734279,0.023898,-0.00114172,-0.00880128,1.99903,3.91772e-05,0.005,1.77779,0.00102963,0.013489,-0.0208132,3.65975,0.0492314,1.68096,0.371597,-0.160077,5.02225,0.27409,6.02689,0.223748,0.539855,0.265869,0.0241699,-0.0161133,-0.121118,-0.596191,-0.0565402,23.4932,23.3513,23.1811,23.3229,23.2378,23.3087,23.1527,
4,6.27297,1.38535,3.15332,4.11766,6.27423,1.97551,1.55574,0.0032484,0.0226882,9.55261e-05,0.100105,0.000248676,0.0270097,-1.0598e-05,0.337454,-3.16793,-0.316383,3.86081,0.494289,-10.9925,0.598101,-0.00887591,-19.1575,-0.378104,0.955858,-0.0397071,1.81575,-0.00122025,-3.20316e-06,0.000310313,2.72319e-06,0.49431,0.00122332,0.0734279,0.024138,-0.00107846,-0.00800722,1.99857,5.94991e-05,0.005,1.7772,0.0010811,0.0124211,-0.0256144,3.97323,0.0556152,1.66213,0.413953,-0.15891,5.01622,0.2637,6.01001,0.208802,0.531799,0.322266,0.00805664,0.0332184,-0.12085,-0.572021,-0.0444942,23.4932,23.3513,23.1811,23.3087,23.252,23.3087,23.1527,
5,6.27297,1.38537,3.15332,4.11776,6.27423,1.97554,1.55574,0.00319133,0.0218557,9.54538e-05,0.100476,0.000243571,0.0297107,-1.0598e-05,0.338362,-3.24175,-0.317707,3.8046,0.498238,-11.2853,0.604584,-0.00863507,-19.2029,-0.379202,0.94667,-0.0397083,1.78621,-0.000877148,-4.18964e-06,0.000413351,3.39955e-06,0.49431,0.00122332,0.0734279,0.0244219,-0.00104965,-0.00739821,1.99809,7.85809e-05,0.005,1.77656,0.00104134,0.0117065,-0.0289123,4.24841,0.05349,1.63984,0.485299,-0.138586,5.05767,0.25854,5.98586,0.200975,0.539795,0.346529,0.0180152,0.0490066,-0.121118,-0.535827,-0.0604248,23.4932,23.3371,23.1811,23.3229,23.2378,23.2946,23.1527,
6,6.27297,1.38539,3.15332,4.11787,6.27423,1.97557,1.55574,0.00308495,0.0210676,9.01508e-05,0.101561,0.000254161,0.0307599,-1.0606e-05,0.339663,-3.35225,-0.31904,3.72147,0.506122,-11.7184,0.611911,-0.00828851,-19.2705,-0.380794,0.932907,-0.039693,1.74282,-0.000621498,-4.97518e-06,0.000520258,3.9886e-06,0.49431,0.00122332,0.0734279,0.0249016,-0.000999645,-0.00699497,1.99761,9.43642e-05,0.005,1.77587,0.00102961,0.0111584,-0.0312989,4.6542,0.0521582,1.62827,0.52984,-0.114426,5.08716,0.260495,5.96222,0.197788,0.531738,0.193527,0.00805664,0.0649547,-0.116891,-0.551895,-0.0605589,23.4932,23.3513,23.1811,23.3229,23.252,23.3087,23.1385,
7,6.27297,1.38541,3.15332,4.11797,6.27423,1.9756,1.55574,0.00297857,0.0165507,9.01508e-05,0.104528,0.000253967,0.0337622,-1.0598e-05,0.341014,-3.46287,-0.321049,3.63697,0.512136,-12.1499,0.620421,-0.007933,-19.3383,-0.382437,0.918706,-0.039693,1.69958,-0.000235308,-6.05246e-06,0.000637942,4.50441e-06,0.49431,0.00122332,0.0734279,0.026714,-0.000937025,-0.00494987,1.99707,0.00011287,0.005,1.77496,0.00100126,0.0107955,-0.0349797,5.0596,0.0491898,1.587,0.590014,-0.123757,5.12144,0.257116,5.96194,0.194394,0.547852,-0.0322266,-0.00805664,0.072956,-0.116821,-0.531754,-0.0485074,23.4932,23.3371,23.1952,23.2946,23.2236,23.2946,23.1527,
8,6.27298,1.38542,3.15332,4.11808,6.27423,1.97564,1.55574,0.00276582,0.00891322,8.75656e-05,0.107499,0.000264549,0.0356091,-1.0598e-05,0.34312,-3.63212,-0.324077,3.50504,0.521782,-12.8227,0.631766,-0.00737723,-19.4417,-0.384934,0.895908,-0.0396848,1.63155,0.00017431,-6.69937e-06,0.000756839,4.94519e-06,0.49431,0.00122332,0.0734279,0.0291868,-0.000825801,-0.00179541,1.99655,0.000125023,0.005,1.77285,0.000955843,0.00895488,-0.0388024,5.69516,0.044812,1.59497,0.671598,-0.113397,5.13979,0.235501,5.95459,0.194924,0.572248,-0.193359,0.0180152,0.0332184,-0.120917,-0.527725,-0.0565402,23.4932,23.3655,23.1811,23.3229,23.2236,23.3087,23.1669,
9,6.27298,1.38542,3.15332,4.11819,6.27423,1.97568,1.55574,0.00276582,-0.00108039,8.48478e-05,0.109389,0.000275131,0.0394342,-1.0598e-05,0.345677,-3.82659,-0.329155,3.35204,0.52866,-13.6026,0.646697,-0.00670822,-19.5604,-0.387906,0.869192,-0.0397031,1.55235,0.000852061,-7.88098e-06,0.000891965,4.83749e-06,0.49431,0.00122332,0.0734279,0.0318467,-0.000792545,0.00251968,1.99598,0.00013866,0.005,1.77011,0.000868016,0.00611586,-0.0452334,6.43364,0.0359739,1.55159,0.834455,-0.0914184,5.19336,0.231464,5.94059,0.207945,0.572078,-0.306576,-0.00805664,-0.00805664,-0.108839,-0.515641,-0.0483398,23.4932,23.3513,23.1811,23.3371,23.2378,23.2946,23.1527,
