Index,joint_angle_0,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_accel_0,joint_accel_1,joint_accel_2,joint_accel_3,joint_accel_4,joint_accel_5,joint_accel_6,constraint_tau_0,constraint_tau_1,constraint_tau_2,constraint_tau_3,constraint_tau_4,constraint_tau_5,constraint_tau_6,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_y,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_y,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z,joint_torque_0,joint_torque_1,joint_torque_2,joint_torque_3,joint_torque_4,joint_torque_5,joint_torque_6,actuar_current_0,actuar_current_1,actuar_current_2,actuar_current_3,actuar_current_4,actuar_current_5,actuar_current_6,actuar_voltage_0,actuar_voltage_1,actuar_voltage_2,actuar_voltage_3,actuar_voltage_4,actuar_voltage_5,actuar_voltage_6
0,6.27279,1.37799,3.15342,4.11153,6.27439,1.97285,1.55585,0.00971366,0.0280861,0.000109936,0.114601,2.64749e-05,0.00842384,1.0582e-05,0.380876,-6.31204,-0.496203,1.67805,0.301824,-23.1826,0.997164,0.00124857,-20,-0.430452,0.58195,-0.0425655,0.622019,0.0279164,-0.000116161,0.00562949,-0.000123421,0.494178,0.00127828,0.0761263,0.0272974,-0.00365976,-0.0123354,1.98282,-0.00187512,0.005,1.78454,-0.00168761,0.0045,-0.313634,15.1996,-0.333236,1.71996,-0.377973,-0.117255,5.40979,0.286495,5.73863,0.128219,0.201577,0.370605,0.225586,-0.0563965,-0.128969,-0.696911,-0.116891,23.479,23.3655,23.1952,23.2946,23.2378,23.3087,23.1385,
1,6.2728,1.37802,3.15342,4.11165,6.2744,1.97287,1.55585,0.0102637,0.0302509,0.000109703,0.116952,3.70369e-05,0.0111269,1.0574e-05,0.329845,-2.86769,-0.241205,4.10001,0.684431,-9.80414,0.585761,-0.0122888,-18.9192,-0.367034,1.00394,-0.0385549,1.93811,-0.00225025,0,0,0,0.494178,0.00127828,0.0761263,0.0275274,-0.00387135,-0.0129446,2,0,0.005,1.77543,0.00329378,0.0156019,-0.0159994,2.84786,0.247613,1.69926,-0.298886,-0.138744,5.40695,0.300504,5.77701,0.131395,0.209473,0.338762,0.217529,-0.0644531,-0.129158,-0.684814,-0.108839,23.479,23.3797,23.1952,23.2946,23.2094,23.3087,23.1385,
2,6.27281,1.37805,3.15342,4.11176,6.2744,1.97289,1.55585,0.0095292,0.0312996,0.000109933,0.115872,4.76188e-05,0.0187843,1.05821e-05,0.330215,-2.97224,-0.227925,4.02308,0.732618,-10.1997,0.595114,-0.0121874,-18.9827,-0.367528,0.991191,-0.0382635,1.899,-0.00195493,-1.05178e-06,0.000104369,7.51918e-06,0.494178,0.00127828,0.0761263,0.0269991,-0.00357366,-0.0125247,1.99946,7.34722e-05,0.005,1.77474,0.00355034,0.0161501,-0.0188481,3.21632,0.282082,1.65011,-0.242689,-0.129957,5.38124,0.316918,5.80219,0.111987,0.217678,0.265869,0.209473,-0.112793,-0.128969,-0.688843,-0.104736,23.479,23.3797,23.1952,23.3087,23.2378,23.2804,23.1527,
3,6.27281,1.37805,3.15342,4.11176,6.2744,1.97289,1.55585,0.0095292,0.0312996,0.000109933,0.115872,4.76188e-05,0.0187843,1.05821e-05,0.331718,-3.09979,-0.230248,3.93207,0.737213,-10.6943,0.602077,-0.0117887,-19.0591,-0.369378,0.975295,-0.0383181,1.85022,-0.00171209,-2.08449e-06,0.000212599,1.49623e-05,0.494178,0.00127828,0.0761263,0.0269991,-0.00357366,-0.0125247,1.99892,0.000146853,0.005,1.77473,0.00334846,0.0157722,-0.0211493,3.67436,0.276763,1.65011,-0.242689,-0.129957,5.38124,0.316918,5.80219,0.111987,0.217678,0.265869,0.209473,-0.112793,-0.128969,-0.688843,-0.104736,23.479,23.3797,23.1952,23.3087,23.2378,23.2804,23.1527,
4,6.27282,1.37808,3.15342,4.11187,6.2744,1.97292,1.55585,0.00972351,0.0321416,0.000107029,0.115872,4.76188e-05,0.0318715,1.05821e-05,0.331778,-3.10049,-0.230413,3.93226,0.737312,-10.6952,0.602132,-0.0117888,-19.0605,-0.369415,0.976108,-0.0383107,1.85015,-0.00171273,-2.08449e-06,0.000212599,1.49623e-05,0.494178,0.00127828,0.0761263,0.0268305,-0.00363084,-0.0114685,1.99892,0.000146853,0.005,1.77473,0.00334846,0.0157722,-0.0211493,3.67436,0.276763,1.63942,-0.16687,-0.11927,5.37897,0.309219,5.79292,0.0940156,0.233643,0.225586,0.209473,-0.0970148,-0.129158,-0.725109,-0.116821,23.479,23.3939,23.1811,23.3087,23.2378,23.3087,23.1527,
5,6.27283,1.37812,3.15342,4.112,6.2744,1.97296,1.55585,0.00918331,0.0323491,9.96905e-05,0.114994,4.23602e-05,0.0330703,1.0582e-05,0.333373,-3.28664,-0.223012,3.79764,0.777004,-11.4213,0.612885,-0.0113562,-19.1731,-0.371401,0.953476,-0.0381136,1.77805,-0.00155394,-2.68436e-06,0.000326569,2.27501e-05,0.494178,0.00127828,0.0761263,0.0265324,-0.00341717,-0.0114048,1.9984,0.000217948,0.005,1.77441,0.00346391,0.0148217,-0.0225804,4.34939,0.297681,1.59828,-0.0975775,-0.125821,5.39038,0.326841,5.77031,0.0903078,0.241833,0.19403,0.217678,-0.072956,-0.125461,-0.821787,-0.117099,23.479,23.3655,23.1811,23.3229,23.2236,23.3087,23.1527,
6,6.27283,1.37815,3.15342,4.11211,6.2744,1.97299,1.55585,0.00864312,0.0321416,9.96932e-05,0.113171,4.76193e-05,0.0307911,1.0582e-05,0.334276,-3.37946,-0.221851,3.7296,0.78797,-11.7816,0.618835,-0.0111028,-19.2297,-0.372591,0.942406,-0.0380923,1.74218,-0.00131641,-3.58212e-06,0.00044959,2.98054e-05,0.494178,0.00127828,0.0761263,0.0260454,-0.00321115,-0.0115285,1.99783,0.000283016,0.005,1.77417,0.00333017,0.0147644,-0.0248515,4.68497,0.300391,1.60117,-0.0352031,-0.145122,5.47655,0.301163,5.74193,0.0809087,0.249886,0.177977,0.201416,-0.0613575,-0.125461,-0.797618,-0.120917,23.479,23.3797,23.1811,23.2946,23.2094,23.2946,23.1527,
7,6.27284,1.37818,3.15342,4.11222,6.2744,1.97302,1.55585,0.00851811,0.0307911,9.71324e-05,0.113711,4.76188e-05,0.0270097,1.0582e-05,0.33474,-3.4295,-0.220721,3.69264,0.794863,-11.9758,0.622465,-0.0109744,-19.2608,-0.373209,0.936823,-0.0380855,1.72282,-0.00113058,-4.36976e-06,0.000559957,3.60841e-05,0.494178,0.00127828,0.0761263,0.0264804,-0.00316355,-0.0114047,1.99732,0.000344833,0.005,1.77414,0.00320039,0.0148756,-0.0266327,4.86611,0.302659,1.55521,0.0471514,-0.127517,5.51693,0.26703,5.72818,0.0939973,0.273926,0.0332184,0.201577,0,-0.116891,-0.74525,-0.108839,23.479,23.3797,23.1811,23.2946,23.2236,23.3087,23.1527,
8,6.27284,1.37818,3.15342,4.11222,6.2744,1.97302,1.55585,0.00851811,0.0307911,9.71324e-05,0.113711,4.76188e-05,0.0270097,1.0582e-05,0.335057,-3.49458,-0.213589,3.64307,0.820598,-12.2269,0.628128,-0.0108903,-19.2998,-0.373569,0.92793,-0.0379654,1.69773,-0.00090157,-4.96304e-06,0.000668335,4.34363e-05,0.494178,0.00127828,0.0761263,0.0264804,-0.00316355,-0.0114047,1.9968,0.000411942,0.005,1.77328,0.00321794,0.0147642,-0.0288289,5.10202,0.320268,1.55521,0.0471514,-0.127517,5.51693,0.26703,5.72818,0.0939973,0.273926,0.0332184,0.201577,0,-0.116891,-0.74525,-0.108839,23.479,23.3797,23.1811,23.2946,23.2236,23.3087,23.1527,
9,6.27285,1.3782,3.15342,4.11233,6.2744,1.97305,1.55585,0.00702253,0.0264696,8.32541e-05,0.115872,4.76188e-05,0.0297107,1.05821e-05,0.335036,-3.49393,-0.213522,3.64241,0.820629,-12.2256,0.628126,-0.0108886,-19.3008,-0.373613,0.92865,-0.0379448,1.69768,-0.000903644,-4.96304e-06,0.000668335,4.34363e-05,0.494178,0.00127828,0.0761263,0.028006,-0.00255203,-0.00945247,1.9968,0.000411942,0.005,1.77328,0.00321794,0.0147642,-0.0288289,5.10202,0.320268,1.54112,0.153772,-0.0964585,5.61827,0.263824,5.70753,0.0912608,0.274044,-0.169381,0.209628,0.0241699,-0.116821,-0.67677,-0.112793,23.4932,23.3797,23.1811,23.2946,23.2236,23.2946,23.1527,
