Index,current_pos_x,current_pos_y,current_pos_z,target_pos_x,target_pos_z,target_pos_z,current_vel_x,current_vel_y,current_vel_z,target_vel_x,target_vel_z,target_vel_z,control_signal_linear_x,control_signal_linear_y,control_signal_linear_z,control_signal_angular_x,control_signal_angular_y,control_signal_angular_z
36,0,0,0,0.395133,0.00134794,-3.16635,-0.000784242,-0.000679419,-0.100012,0,0,-0.02,-0.0659326,0.0257856,2.53808,0.00553533,-0.450303,-0.00360095
37,0,0,0,0.395133,0.00134794,-3.26635,-0.000917336,-0.000730435,-0.0998252,0,0,-0.02,-0.0659326,0.0257856,2.53808,0.00553533,-0.450303,-0.00360095
38,0,0,0,0.395133,0.00134794,-3.36635,-0.000399834,-0.000734894,-0.0989349,0,0,-0.02,-0.0659326,0.0257856,2.53808,0.00553533,-0.450303,-0.00360095
39,0,0,0,0.395133,0.00134794,-3.46635,0.00029639,-0.000793918,-0.0979296,0,0,-0.02,-0.0659326,0.0257856,2.53808,0.00553533,-0.450303,-0.00360095
40,0,0,0,0.395133,0.00134794,-3.56635,0.000925283,-0.000750196,-0.0972242,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
41,0,0,0,0.395133,0.00134794,-3.66635,0.000571343,-0.000592253,-0.0981611,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
42,0,0,0,0.395133,0.00134794,-3.76635,0.000151859,-0.000566539,-0.0986875,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
43,0,0,0,0.395133,0.00134794,-3.86635,-0.000357779,-0.000352188,-0.0993754,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
44,0,0,0,0.395133,0.00134794,-3.96635,-0.000408426,-0.000248966,-0.0992946,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
45,0,0,0,0.395133,0.00134794,-4.06635,-0.00116639,-0.00030653,-0.100458,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
46,0,0,0,0.395133,0.00134794,-4.16635,-0.00114722,-0.000304887,-0.100356,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
47,0,0,0,0.395133,0.00134794,-4.26635,-0.00122489,-0.000400836,-0.0991716,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
48,0,0,0,0.395133,0.00134794,-4.36635,-0.00123261,-0.000441591,-0.0969788,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
49,0,0,0,0.395133,0.00134794,-4.46635,-0.00170833,-0.000465267,-0.0954734,0,0,-0.02,-0.00889171,0.0238175,2.33789,0.0052734,-0.421266,-0.00354559
50,0,0,0,0.395133,0.00134794,-4.56635,-0.00158721,-0.000466422,-0.0953995,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
51,0,0,0,0.395133,0.00134794,-4.66635,-0.00056662,-0.000538777,-0.0949994,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
52,0,0,0,0.395133,0.00134794,-4.76635,-0.000217451,-0.000554911,-0.0946468,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
53,0,0,0,0.395133,0.00134794,-4.86635,-0.000778571,-0.00055015,-0.0940986,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
54,0,0,0,0.395133,0.00134794,-4.96635,-0.000962343,-0.000529015,-0.09335,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
55,0,0,0,0.395133,0.00134794,-5.06635,-0.00116493,-0.000473347,-0.0920313,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
56,0,0,0,0.395133,0.00134794,-5.16635,-0.000991678,-0.000407595,-0.0920243,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
57,0,0,0,0.395133,0.00134794,-5.26635,-0.00132436,-0.000367022,-0.0918609,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
58,0,0,0,0.395133,0.00134794,-5.36635,-0.00139568,-0.000313903,-0.0922872,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
59,0,0,0,0.395133,0.00134794,-5.46635,-0.00162552,-0.000295322,-0.0913018,0,0,-0.02,0.0512498,0.013958,2.2642,0.00431327,-0.408978,-0.00373263
60,0,0,0,0.395133,0.00134794,-5.56635,-0.00131641,-0.000284171,-0.0901426,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
61,0,0,0,0.395133,0.00134794,-5.66635,-0.00142363,-0.000323979,-0.0897781,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
62,0,0,0,0.395133,0.00134794,-5.76635,-0.00167385,-0.00031911,-0.0890209,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
63,0,0,0,0.395133,0.00134794,-5.86635,-0.0015206,-0.000351936,-0.0880239,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
64,0,0,0,0.395133,0.00134794,-5.96635,-0.000974315,-0.000439627,-0.0864919,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
65,0,0,0,0.395133,0.00134794,-6.06635,-0.0004898,-0.000411204,-0.0857074,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
66,0,0,0,0.395133,0.00134794,-6.16635,-0.000520403,-0.000390055,-0.0864444,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
67,0,0,0,0.395133,0.00134794,-6.26635,-0.000614379,-0.000410775,-0.0875054,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
68,0,0,0,0.395133,0.00134794,-6.36635,-0.000657732,-0.000443513,-0.0868376,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
69,0,0,0,0.395133,0.00134794,-6.46635,-6.16231e-05,-0.000472833,-0.0850609,0,0,-0.02,0.0487657,0.00885967,2.13905,0.00550143,-0.389184,-0.00575884
70,0,0,0,0.395133,0.00134794,-6.56635,-0.000287237,-0.000522034,-0.0854004,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
71,0,0,0,0.395133,0.00134794,-6.66635,-0.000829774,-0.000474978,-0.0867524,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
72,0,0,0,0.395133,0.00134794,-6.76635,-0.0007763,-0.000470054,-0.0875554,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
73,0,0,0,0.395133,0.00134794,-6.86635,-0.000287568,-0.000413863,-0.0869406,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
74,0,0,0,0.395133,0.00134794,-6.96635,-4.22019e-05,-0.000452193,-0.0860397,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
75,0,0,0,0.395133,0.00134794,-7.06635,-0.000414345,-0.000420183,-0.0855603,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
76,0,0,0,0.395133,0.00134794,-7.16635,-0.000477863,-0.000421175,-0.0857173,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
77,0,0,0,0.395133,0.00134794,-7.26635,9.7063e-05,-0.000396568,-0.0851067,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
78,0,0,0,0.395133,0.00134794,-7.36635,0.000439418,-0.000401606,-0.0844396,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
79,0,0,0,0.395133,0.00134794,-7.46635,0.000377813,-0.000357648,-0.0842895,0,0,-0.02,0.00184869,0.014185,1.95183,0.00615515,-0.358765,-0.00587042
80,0,0,0,0.395133,0.00134794,-7.56635,-0.000488298,-0.000384026,-0.0825796,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
81,0,0,0,0.395133,0.00134794,-7.66635,-0.00121347,-0.000498722,-0.0825606,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
82,0,0,0,0.395133,0.00134794,-7.76635,-0.00135795,-0.000491555,-0.082664,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
83,0,0,0,0.395133,0.00134794,-7.86635,-0.000972079,-0.000492369,-0.0823967,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
84,0,0,0,0.395133,0.00134794,-7.96635,-0.00146398,-0.000516922,-0.0824327,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
85,0,0,0,0.395133,0.00134794,-8.06635,-0.00217651,-0.000513833,-0.0829791,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
86,0,0,0,0.395133,0.00134794,-8.16635,-0.00224763,-0.000574302,-0.0823753,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
87,0,0,0,0.395133,0.00134794,-8.26635,-0.00181045,-0.000627223,-0.0806271,0,0,-0.02,-0.0113344,0.0107295,1.92869,0.00887362,-0.354358,-0.00957087
